propertyCode,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,price,logPrice,pricePerSquareMeter,logPricePerSquareMeter
33888859,flat,118.0,2,1,Avenidas Novas,38.7481791,-9.1547844,good,False,True,False,True,True,1950.0,7.575584651557793,16.52542372881356,0.06419986992845587
33888890,flat,69.0,1,1,São Vicente,38.717664,-9.1291924,good,False,True,False,True,True,1950.0,7.575584651557793,28.26086956521739,0.10979108190663468
33888278,flat,55.0,1,1,Avenidas Novas,38.7359226,-9.1485409,good,False,True,False,True,True,1950.0,7.575584651557793,35.45454545454545,0.13773790275559622
33888720,flat,130.0,3,2,Arroios,38.7259833,-9.1408751,good,False,True,False,False,False,3200.0,8.070906088787819,24.615384615384617,0.06208389299067553
33888498,flat,90.0,2,1,Alcântara,38.7063481,-9.1848506,good,False,False,False,False,False,950.0,6.856461984594587,10.555555555555555,0.07618291093993985
33888190,flat,60.0,1,1,Avenidas Novas,38.739201,-9.1472156,good,False,False,False,False,False,1650.0,7.408530566894626,27.5,0.12347550944824377
33888132,flat,121.0,2,3,Areeiro,38.7424586,-9.1405492,good,False,False,False,False,False,3200.0,8.070906088787819,26.446280991735538,0.06670170321312247
33887761,flat,70.0,2,1,Campolide,38.7258489,-9.1701987,good,False,True,False,False,False,1250.0,7.1308988302963465,17.857142857142858,0.10186998328994781
33887717,flat,224.0,5,4,Lumiar,38.7667045,-9.1578651,good,False,True,False,True,True,3750.0,8.229511118964457,16.741071428571427,0.036738888923948464
33887863,flat,135.0,3,3,Alvalade,38.7454342,-9.1413969,good,False,False,False,False,False,2100.0,7.649692623711514,15.555555555555555,0.05666438980527048
33887827,flat,85.0,2,1,Santo António,38.725774,-9.1447763,good,False,True,False,False,False,2100.0,7.649692623711514,24.705882352941178,0.08999638380837076
33887718,flat,81.0,2,2,Santo António,38.7175877,-9.1457507,good,False,True,False,True,True,3200.0,8.070906088787819,39.50617283950617,0.09964081591096073
33887629,flat,218.0,3,4,Avenidas Novas,38.7339288,-9.1474957,good,False,True,False,True,True,5100.0,8.536995818712418,23.394495412844037,0.03916053127849733
33887453,flat,125.0,2,1,Avenidas Novas,38.7384696,-9.1580819,good,False,True,False,True,True,2650.0,7.882314918980268,21.2,0.06305851935184215
32911167,flat,68.0,1,1,Arroios,38.7318817,-9.1458251,good,False,True,False,True,True,1550.0,7.346010209913293,22.794117647058822,0.1080295619104896
33887424,flat,40.0,1,1,Ajuda,38.7029073,-9.2002628,good,False,False,False,False,False,1300.0,7.170119543449628,32.5,0.1792529885862407
33864908,flat,141.0,2,3,Campolide,38.7244855,-9.1608892,good,False,True,False,True,True,3200.0,8.070906088787819,22.69503546099291,0.05724046871480722
33887411,flat,81.0,1,1,São Vicente,38.7179545,-9.1295522,good,False,True,False,True,True,2500.0,7.824046010856292,30.864197530864196,0.09659316062785546
33887313,flat,70.0,2,1,Penha de França,38.7312698,-9.1278103,good,False,True,False,False,False,1500.0,7.313220387090301,21.428571428571427,0.10447457695843287
32686359,flat,67.0,1,2,Estrela,38.7063195,-9.1557442,good,False,True,False,True,True,2500.0,7.824046010856292,37.3134328358209,0.11677680613218346
33820957,flat,60.0,2,1,Misericórdia,38.7104192,-9.145894,good,False,False,False,False,False,1300.0,7.170119543449628,21.666666666666668,0.11950199239082714
33887304,flat,153.0,3,2,Alvalade,38.7525102,-9.1345694,good,False,False,False,True,True,1850.0,7.52294091807237,12.091503267973856,0.04916954848413314
33887111,flat,110.0,2,2,Carnide,38.7641237,-9.1752269,good,False,True,False,True,True,1500.0,7.313220387090301,13.636363636363637,0.06648382170082093
33865062,flat,78.0,2,1,Alcântara,38.7029142,-9.1812145,good,False,True,False,False,False,1200.0,7.090076835776092,15.384615384615385,0.09089842097148836
33887039,studio,48.0,0,1,Santo António,38.7211544,-9.1477885,good,False,False,False,True,True,1800.0,7.495541943884256,37.5,0.156157123830922
33887050,flat,39.0,1,1,Marvila,38.739001,-9.1032481,good,False,True,False,False,False,1250.0,7.1308988302963465,32.05128205128205,0.18284355975118838
33886925,flat,160.0,3,4,Estrela,38.7159782,-9.1588808,good,False,True,False,True,True,7200.0,8.881836305004146,45.0,0.05551147690627591
33886829,flat,160.0,3,2,Estrela,38.7133993,-9.160707,good,False,True,False,True,True,6500.0,8.779557455883728,40.625,0.0548722340992733
33886874,flat,120.0,2,1,Lumiar,38.7845858,-9.1691455,good,False,True,False,False,False,1600.0,7.3777589082278725,13.333333333333334,0.06148132423523227
33886872,flat,380.0,5,4,Avenidas Novas,38.7281888,-9.1537815,good,False,True,False,True,True,9000.0,9.104979856318357,23.68421052631579,0.02396047330610094
33881536,flat,55.0,1,1,Avenidas Novas,38.7346875,-9.1507274,good,False,True,False,True,True,1950.0,7.575584651557793,35.45454545454545,0.13773790275559622
33886856,flat,65.0,1,1,Santo António,38.7157825,-9.1466849,good,False,False,False,False,False,1850.0,7.52294091807237,28.46153846153846,0.11573755258572878
33886850,flat,90.0,2,2,Carnide,38.7575468,-9.1932373,good,False,False,False,False,False,1730.0,7.455876687491824,19.22222222222222,0.08284307430546471
33886833,flat,49.0,1,1,Misericórdia,38.7109008,-9.1442384,good,False,True,False,False,False,1940.0,7.570443252057374,39.59183673469388,0.15449884187872193
33886832,flat,71.0,2,2,Campolide,38.7316137,-9.1641086,good,False,True,False,False,False,2050.0,7.6255950721324535,28.87323943661972,0.10740274749482329
33886830,flat,90.0,2,1,Estrela,38.7056018,-9.1655606,good,False,False,False,False,False,2160.0,7.67786350067821,24.0,0.08530959445198011
33886798,studio,40.0,0,1,Arroios,38.7311232,-9.1422652,good,False,False,False,False,False,1940.0,7.570443252057374,48.5,0.18926108130143435
32913777,flat,55.0,2,1,Santa Maria Maior,38.7086771,-9.1356992,good,False,False,False,False,False,1600.0,7.3777589082278725,29.09090909090909,0.13414107105868858
