propertyCode,size,rooms,bathrooms,municipality,latitude,longitude,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew
33893290,162.0,3,2,São Domingos de Benfica,38.7514748,-9.1710636,0,1,0,1,1,0,0,1,0,0,1,0,0
33893285,80.0,2,2,São Domingos de Benfica,38.7440783,-9.1766082,0,0,0,0,0,0,0,1,0,0,1,0,0
33893222,148.0,2,2,Estrela,38.7042651,-9.1725116,0,0,0,0,0,0,0,1,0,0,1,0,0
33893239,68.0,2,2,Misericórdia,38.7091602,-9.1454221,0,0,0,0,0,0,0,1,0,0,1,0,0
33893121,47.0,1,1,Campolide,38.7286404,-9.1663957,0,0,0,0,0,0,0,1,0,0,1,0,0
33893069,97.0,1,2,Beato,38.733861,-9.1064026,0,1,0,1,1,0,0,1,0,0,1,0,0
30505697,140.0,3,2,Alvalade,38.7465775,-9.1437383,0,0,0,0,0,0,0,1,0,0,1,0,0
33524563,72.0,4,1,Olivais,38.7657569,-9.1232911,0,1,0,0,0,0,0,1,0,0,1,0,0
31355788,55.0,1,1,Parque das Nações,38.7916304,-9.0969619,0,1,0,1,1,0,0,1,0,0,1,0,0
33892496,50.0,2,2,Misericórdia,38.7125349,-9.1459996,0,0,0,0,0,0,0,1,0,0,1,0,0
33892832,65.0,1,1,Santo António,38.7202533,-9.145333,0,0,0,0,0,0,0,1,0,0,1,0,0
33892845,51.0,1,1,Ajuda,38.7044308,-9.2033174,0,0,0,0,0,0,0,1,0,0,1,0,0
33892842,50.0,1,1,Santa Maria Maior,38.7145676,-9.1297072,0,0,0,0,0,0,0,1,0,0,1,0,0
33892814,65.0,2,1,Misericórdia,38.7108559,-9.1457158,0,0,0,0,0,0,0,1,0,0,1,0,0
33892796,130.0,3,3,Parque das Nações,38.7644328,-9.1020673,0,1,0,0,0,0,0,1,0,0,1,0,0
33892492,54.0,3,2,Misericórdia,38.712655,-9.1458922,0,0,0,0,0,0,0,1,0,0,1,0,0
33841237,43.0,0,1,Misericórdia,38.7108535,-9.1427265,0,1,0,0,0,0,0,0,0,1,1,0,0
33892719,80.0,2,1,Arroios,38.7349868,-9.1336758,0,1,0,0,0,0,0,1,0,0,1,0,0
33892656,125.0,2,1,Arroios,38.7265817,-9.135117,0,0,0,0,0,0,0,1,0,0,1,0,0
33892564,38.0,1,1,Avenidas Novas,38.7350856,-9.1461072,0,1,0,0,0,0,0,1,0,0,1,0,0
33883606,80.0,2,1,Misericórdia,38.7110626,-9.151642,0,1,0,0,0,0,0,1,0,0,1,0,0
33892510,120.0,3,2,Belém,38.702959,-9.2073812,0,1,0,0,0,0,0,1,0,0,1,0,0
33892502,103.0,2,2,Santo António,38.7162724,-9.1533355,0,0,0,0,0,0,0,1,0,0,1,0,0
33892475,52.0,3,2,Misericórdia,38.7119953,-9.1426108,0,0,0,0,0,0,0,1,0,0,1,0,0
33892437,137.0,3,2,Parque das Nações,38.779085,-9.0952512,0,1,0,1,1,0,0,1,0,0,1,0,0
32842324,71.0,2,2,Arroios,38.7283926,-9.1320852,0,0,0,0,0,0,0,1,0,0,1,0,0
30958599,45.0,1,1,Benfica,38.7538618,-9.1995505,0,0,0,0,0,0,0,1,0,0,1,0,0
33892329,165.0,4,2,Campo de Ourique,38.7174215,-9.1664609,0,1,0,1,1,0,0,1,0,0,1,0,0
33892359,60.0,1,1,Misericórdia,38.7117606,-9.1513814,0,1,0,0,0,0,0,1,0,0,1,0,0
33892348,81.0,1,1,São Vicente,38.7179245,-9.1278672,0,0,0,0,0,0,0,1,0,0,1,0,0
32846676,50.0,1,1,Campo de Ourique,38.7173931,-9.1628022,0,1,0,0,0,0,0,1,0,0,1,0,0
33892303,58.0,2,1,Misericórdia,38.7110407,-9.1479707,0,1,0,1,1,0,0,1,0,0,1,0,0
33892294,80.0,2,2,Arroios,38.7223718,-9.132745,0,0,0,0,0,0,0,1,0,0,1,0,0
33892050,142.0,3,2,São Domingos de Benfica,38.751111,-9.1709393,0,1,0,1,1,0,0,1,0,0,1,0,0
33892000,100.0,2,3,Avenidas Novas,38.7269344,-9.1488837,0,1,0,1,1,0,0,1,0,0,1,0,0
33891902,150.0,3,2,Carnide,38.7656382,-9.1884395,0,1,0,1,1,0,0,1,0,0,1,0,0
33891956,100.0,2,3,Estrela,38.7101546,-9.1669878,0,1,0,0,0,0,0,1,0,0,1,0,0
28754342,50.0,1,1,Penha de França,38.7311133,-9.1297043,0,0,0,0,0,0,0,1,0,0,1,0,0
33891920,53.0,1,1,Santo António,38.72371,-9.1472255,0,1,0,1,1,0,0,1,0,0,1,0,0
33891849,49.0,1,1,Alcântara,38.7052782,-9.1847397,0,1,0,0,0,0,0,0,1,0,1,0,0
33891794,80.0,2,1,Misericórdia,38.7110645,-9.1454718,0,0,0,0,0,0,0,1,0,0,1,0,0
33891801,133.0,1,1,Marvila,38.7445416,-9.1027311,0,1,0,1,1,0,0,1,0,0,1,0,0
33891743,120.0,2,1,Estrela,38.7054857,-9.1670337,0,1,0,0,0,0,0,1,0,0,1,0,0
33891662,70.0,1,1,São Domingos de Benfica,38.7448703,-9.1664496,0,1,0,1,1,0,0,1,0,0,1,0,0
33883208,120.0,3,2,Avenidas Novas,38.7362878,-9.1455675,0,1,0,0,0,0,0,1,0,0,1,0,0
33891414,67.0,2,1,Penha de França,38.7226015,-9.126654,0,0,0,0,0,0,0,1,0,0,1,0,0
33891437,116.0,3,3,Areeiro,38.7442513,-9.1396112,0,0,0,0,0,0,0,1,0,0,1,0,0
33891329,140.0,2,2,Parque das Nações,38.7824326,-9.0952408,0,1,0,1,1,0,0,1,0,0,1,0,0
33891342,60.0,1,1,Avenidas Novas,38.7400991,-9.1545074,0,1,0,0,0,0,0,1,0,0,1,0,0
33891294,77.0,2,1,Benfica,38.7552475,-9.2014287,0,0,0,0,0,0,0,1,0,0,1,0,0
33878098,46.0,1,1,Arroios,38.7330459,-9.136831,0,0,0,0,0,0,0,1,0,0,1,0,0
33891246,189.0,3,2,Benfica,38.7498973,-9.2042453,0,1,0,1,1,0,0,1,0,0,1,0,0
33891249,60.0,1,1,Alcântara,38.7017502,-9.1907036,0,1,0,0,0,0,0,1,0,0,1,0,0
33890162,60.0,2,1,Alcântara,38.7056544,-9.1845486,0,1,0,0,0,0,0,1,0,0,1,0,0
