propertyCode,price,logPrice,pricePerSquareMeter,logPricePerSquareMeter
33938223,2600.0,7.8632667240095735,18.309859154929576,2.9074396664083126
33903345,1100.0,7.003065458786462,23.91304347826087,3.174424062297367
33938148,1550.0,7.346010209913293,17.816091954022987,2.8801020912587085
33938102,2600.0,7.8632667240095735,14.525139664804469,2.6758809181688186
33938123,2000.0,7.600902459542082,18.51851851851852,2.9187712324178627
33938121,1700.0,7.438383530044307,18.88888888888889,2.9385738597140425
33938095,3000.0,8.006367567650246,27.77777777777778,3.324236340526027
33938062,1250.0,7.1308988302963465,25.0,3.2188758248682006
33934903,2675.0,7.891704659330107,23.883928571428573,3.1732057880350126
33937148,2500.0,7.824046010856292,32.89473684210526,3.493312670569961
33937124,2500.0,7.824046010856292,32.89473684210526,3.493312670569961
33937902,1750.0,7.4673710669175595,19.886363636363637,2.9900342524393535
33938019,1200.0,7.090076835776092,20.0,2.995732273553991
33806581,2200.0,7.696212639346407,11.956521739130435,2.4812768817374216
33937743,3000.0,8.006367567650246,24.793388429752067,3.2105770220535055
32367810,1350.0,7.2078598714324755,22.5,3.1135153092103742
33937780,1400.0,7.24422751560335,21.53846153846154,3.069840245707713
33906425,1100.0,7.003065458786462,22.0,3.091042453358316
33935271,2800.0,7.937374696163295,31.11111111111111,3.43756502583303
33933025,3250.0,8.086410275323782,22.26027397260274,3.102803653615447
33937494,1850.0,7.52294091807237,21.022727272727273,3.045604103594164
33778362,1300.0,7.170119543449628,18.571428571428573,2.921624301400269
33937429,1100.0,7.003065458786462,22.0,3.091042453358316
33937458,3000.0,8.006367567650246,32.25806451612903,3.473768074496991
33915516,1500.0,7.313220387090301,22.058823529411764,3.093712681914195
33937418,2150.0,7.673223121121708,13.870967741935484,2.629798004202462
33877996,1650.0,7.408530566894626,16.5,2.803360380906535
33937292,2250.0,7.718685495198466,30.405405405405407,3.4146204019942963
33741390,6500.0,8.779557455883728,38.46153846153846,3.649658740960655
33937220,1400.0,7.24422751560335,23.333333333333332,3.1498829533812494
33937237,1120.0,7.02108396428914,16.0,2.772588722239781
33887539,1600.0,7.3777589082278725,21.333333333333332,3.060270794691562
33937049,1750.0,7.4673710669175595,22.727272727272727,3.123565645063876
33937033,1400.0,7.24422751560335,18.666666666666668,2.9267394020670396
33937024,1800.0,7.495541943884256,22.5,3.1135153092103742
33936862,975.0,6.882437470997847,24.375,3.193558016883911
33936814,1750.0,7.4673710669175595,16.35514018691589,2.7945422324556537
33936847,1100.0,7.003065458786462,33.333333333333336,3.506557897319982
33936811,1750.0,7.4673710669175595,25.0,3.2188758248682006
33936684,1050.0,6.956545443151569,17.5,2.8622008809294686
33936690,1250.0,7.1308988302963465,25.0,3.2188758248682006
33936620,5150.0,8.546751993657782,31.595092024539877,3.4530017928510195
33936525,10000.0,9.210340371976184,27.700831024930746,3.3214624136433017
33936474,2400.0,7.783224016336037,18.181818181818183,2.900422093749666
33936509,1750.0,7.4673710669175595,17.5,2.8622008809294686
33936491,1300.0,7.170119543449628,18.055555555555557,2.893453424433573
33625968,1200.0,7.090076835776092,24.0,3.1780538303479458
33936264,1000.0,6.907755278982137,22.22222222222222,3.101092789211817
33926748,1200.0,7.090076835776092,21.818181818181817,3.0827436505436205
33936170,1800.0,7.495541943884256,18.181818181818183,2.900422093749666
